scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
13 18 13 15 18 22 17 22 15 19 ,11,12,101,1.587596,14.638458,0.356872,14.281616,0.000000,181093,0.009552
17 12 18 21 19 20 11 17 22 12 15 ,11,12,101,1.587596,16.922271,0.419830,16.502441,0.000000,182810,0.003875
11 20 15 14 18 20 22 13 16 ,11,12,101,1.587596,13.195587,0.306762,12.888824,0.000000,184224,0.004455
21 18 20 16 19 18 18 ,11,12,101,1.587596,10.273712,0.224517,10.049224,0.000000,185335,0.003875
15 16 13 21 16 17 19 16 ,11,12,101,1.587596,12.531524,0.269317,12.262207,0.000000,186648,0.006744
13 19 20 13 21 13 14 15 12 ,11,12,101,1.587596,13.062805,0.316619,12.746154,0.000000,187961,0.009765
17 12 18 17 ,11,12,101,1.587596,5.679931,0.145416,5.534545,0.000000,188567,0.004394
19 13 14 18 13 13 15 18 11 ,11,12,101,1.587596,13.929962,0.328063,13.601898,0.000000,189981,0.005126
19 20 14 17 20 21 ,11,12,101,1.587596,8.250274,0.182617,8.067657,0.000000,190890,0.008911
18 20 13 21 13 19 22 21 ,11,12,101,1.587596,11.500274,0.250213,11.250061,0.000000,192102,0.006195
16 15 ,11,12,101,1.587596,3.133056,0.088195,3.044860,0.000000,192506,0.005310
14 18 13 14 20 13 15 21 13 21 14 11 15 18 16 22 22 22 20 13 16 15 14 18 14 ,11,12,101,1.587596,39.539337,0.912628,38.626708,0.000000,196546,0.003967
12 13 16 14 17 12 19 20 12 15 11 19 11 19 15 13 17 19 22 11 11 14 14 ,11,12,101,1.587596,35.375579,0.835845,34.539733,0.000000,200182,0.003875
12 19 22 20 22 22 19 20 17 21 ,11,12,101,1.587596,15.289337,0.329620,14.959716,0.000000,201798,0.007812
13 ,11,12,101,1.587596,1.305450,0.042083,1.263336,0.000000,202000,0.003875
21 19 15 11 11 20 12 19 12 21 19 12 21 18 20 16 12 14 12 14 18 14 16 16 12 12 ,11,12,101,1.587596,40.726837,0.929840,39.796997,0.000000,206141,0.007751
11 17 14 20 22 19 14 22 14 21 12 19 22 19 18 16 17 21 13 13 ,11,12,101,1.587596,30.954589,0.727020,30.227600,0.000000,209272,0.003875
22 16 13 14 ,11,12,101,1.587596,5.336212,0.120300,5.215911,0.000000,209878,0.005218
21 19 ,11,12,101,1.587596,2.594024,0.060729,2.533294,0.000000,210181,0.006469
