nodeID,channel,ASN
1,13,101
1,15,202
1,12,505
1,13,1717
1,14,2020
1,13,2525
1,15,2626
1,18,2727
1,14,2828
1,11,3131
1,14,3636
1,11,4747
1,18,5151
1,12,5353
1,17,5454
1,13,5757
1,18,6767
1,12,6969
1,16,7272
1,13,7373
1,15,9090
1,14,9292
1,11,9595
1,14,10100
1,13,10605
1,16,11312
1,12,11817
1,15,12322
1,12,12625
1,12,13433
1,17,13534
1,13,13837
1,18,14039
1,14,14140
1,13,14645
1,15,14746
1,12,15049
1,17,15150
1,16,15352
1,17,15958
1,11,16059
1,17,16766
1,16,16968
1,15,17170
1,18,17271
1,16,18584
1,15,18786
1,15,19595
1,12,19897
1,11,20099
1,16,20200
1,14,20604
1,14,21412
1,16,21816
1,13,21917
1,18,22119
1,14,22220
1,17,22422
1,17,23230
1,15,23634
1,12,23937
1,14,24644
1,17,24846
1,17,25654
1,16,25856
1,13,25957
1,14,26260
1,13,26765
1,15,26866
1,11,27371
1,16,27472
1,13,27573
1,12,27977
1,18,28583
1,12,28785
1,17,28886
1,11,28987
1,14,29492
1,11,29795
1,15,30098
1,17,30502
1,11,30603
1,13,30805
1,18,31815
1,17,32118
1,15,32522
1,14,32724
1,12,32825
1,18,33431
1,14,33532
1,17,34542
1,16,35552
1,17,36158
1,11,36259
1,16,36360
1,13,36461
1,18,36663
1,17,36966
1,13,37269
1,18,37471
1,13,38077
1,15,38178
1,17,38582
1,16,38784
1,17,39390
1,12,40097
1,13,40501
1,13,41309
1,15,41410
1,18,41511
1,11,41915
1,15,42218
1,13,42925
1,14,43228
1,17,43430
1,11,43531
1,13,43733
1,14,44844
1,17,45046
1,17,45854
1,13,46157
1,18,46359
1,14,46460
1,17,47470
1,13,47773
1,16,48480
1,12,48985
1,14,49692
1,12,49793
1,15,50298
1,13,51005
1,14,51308
1,15,51914
1,11,52419
1,13,52621
1,15,52722
1,12,53025
1,17,53127
1,11,53227
1,13,54237
1,15,54339
1,12,54641
1,13,55045
1,15,55146
1,14,55348
1,17,55550
1,12,56257
1,17,56358
1,13,56662
1,14,57773
1,12,57874
1,16,58176
1,12,58681
1,11,58883
1,17,59590
1,15,59994
1,12,60297
1,16,60600
1,13,60701
1,13,61509
1,15,61610
1,14,61812
1,13,62317
1,17,63630
1,11,64539
1,18,64943
1,18,65751
1,12,65953
1,17,66054
1,13,66357
1,15,66458
1,12,66761
1,11,66963
1,15,67266
1,15,68074
1,17,68478
1,13,68781
1,14,69084
1,17,70094
1,16,70296
1,18,70599
1,14,70700
1,17,70902
1,15,72114
1,17,72518
1,14,73124
1,18,73831
1,13,74437
1,17,74942
1,13,75246
1,14,75549
1,12,75649
1,15,76154
1,11,76659
1,18,77063
1,11,77467
1,16,77568
1,13,77669
1,13,78477
1,15,78578
1,18,78679
1,14,78780
1,17,78982
1,14,79588
1,11,79891
1,13,80093
1,14,80396
1,16,80800
1,13,80901
1,18,81911
1,17,82214
1,11,82315
1,15,82618
1,12,84537
1,16,84840
1,18,85143
1,15,85851
1,14,86053
1,18,86759
1,12,86961
1,17,87062
1,14,87668
1,12,87769
1,15,88274
1,14,88476
1,16,88880
1,11,89587
1,12,90193
1,13,91405
1,14,91708
1,16,92112
1,14,92516
1,11,92819
1,14,93324
1,17,94334
1,11,94435
1,18,94839
1,14,94940
1,12,95041
1,16,95344
1,15,95546
1,18,96455
1,15,97162
1,14,97364
1,17,97566
1,13,97869
1,15,97970
1,18,98071
1,14,98172
1,17,98374
1,11,99283
1,12,99889
1,18,100495
1,13,101101
1,14,101404
1,12,101505
1,17,101606
1,14,102212
1,11,103324
1,11,104133
1,11,104939
1,15,105242
1,18,105343
1,17,105646
1,18,106151
1,14,106252
1,17,106455
1,13,106757
1,13,107565
1,11,108171
1,16,108272
1,13,109181
1,18,109383
1,14,109484
1,17,109686
1,15,110090
1,13,110797
1,15,111706
1,17,112110
1,13,112413
1,12,112817
1,12,113625
1,11,113827
1,12,114433
1,11,114635
1,16,114736
1,14,115140
1,14,116756
1,15,118171
1,18,118271
1,16,118776
1,18,119079
1,12,119281
1,12,120089
1,11,120291
1,15,120594
1,18,120695
1,15,121402
1,17,121806
1,13,122109
1,14,122412
1,11,123523
1,16,123624
1,13,123725
1,15,124634
1,18,124735
1,14,124836
1,17,125038
1,13,125341
1,16,126048
1,15,127058
1,18,127967
1,17,128270
1,16,128472
1,12,128977
1,17,129078
1,12,129785
1,13,130189
1,17,130694
1,13,130997
1,12,131401
1,13,131805
1,14,132108
1,17,132310
1,18,132815
1,14,132916
1,17,133118
1,15,133522
1,12,133825
1,13,134229
1,15,134330
1,18,135239
1,14,135340
1,13,135845
1,12,136249
1,15,136754
1,17,137158
1,13,137461
1,17,137966
1,13,138269
1,13,139077
1,15,139178
1,12,141097
1,17,141198
1,11,141299
1,16,141400
1,13,141501
1,14,141804
1,18,142511
1,14,142612
1,17,142814
1,13,143117
1,16,144632
1,13,145541
1,14,145844
1,15,146450
1,13,147157
1,17,147662
1,16,147864
1,15,148066
1,16,148672
1,17,150086
1,11,151803
1,14,152308
1,16,152712
1,15,152914
1,17,153318
1,13,153621
1,15,153722
1,14,153924
1,17,154934
1,16,155136
1,15,155338
1,18,155439
1,17,155742
1,15,156146
1,14,156348
1,11,156651
1,16,156752
1,14,157156
1,12,157257
1,11,157459
1,13,159277
1,12,159681
1,11,159883
1,16,160792
1,16,161600
1,18,161903
1,17,162206
1,11,162307
1,18,162711
1,12,162913
1,14,163620
1,13,164125
1,15,164226
1,18,164327
1,14,164428
1,17,164630
1,18,165135
1,12,165337
1,11,165539
1,15,165842
1,14,166044
1,17,166246
1,16,166448
1,14,166852
1,13,167357
1,12,167761
1,15,168266
1,12,168569
1,17,168670
1,13,168973
1,18,169175
1,12,170185
1,16,170488
1,16,172104
1,15,172306
1,18,172407
1,17,173518
1,11,173619
1,15,173922
1,11,174427
1,13,175437
1,14,175740
1,16,176144
1,15,176346
1,18,176447
1,17,176750
1,16,176952
1,15,177154
1,18,177255
1,16,177760
1,17,178366
1,11,178467
1,16,178568
1,13,178669
1,14,178972
1,12,179073
1,16,179376
1,15,179578
1,11,180083
1,13,180285
1,15,180386
1,12,180689
1,11,180891
1,13,181093
1,15,181194
1,18,182103
1,14,182204
1,11,182507
1,13,182709
1,15,182810
1,11,183315
1,15,183618
1,17,184022
1,11,184123
1,16,184224
1,12,184729
1,18,185335
1,11,185739
1,16,185840
1,14,186244
1,17,186446
1,11,186547
1,13,186749
1,14,187052
1,15,187658
1,16,188264
1,18,188567
1,14,188668
1,17,188870
1,11,188971
1,14,189476
