scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
18 21 14 11 21 18 20 11 11 21 12 16 17 21 20 20 20 11 16 14 20 13 21 14 13 14 20 17 22 11 17 16 14 20 14 18 17 17 12 12 22 13 16 16 14 19 16 13 12 14 20 16 15 21 21 20 22 18 14 22 21 17 16 12 22 22 17 20 12 20 11 16 14 18 21 16 22 16 12 20 17 12 12 22 20 22 ,5,12,101,0.500000,43.310516,1.004852,42.305694,0.000000,67064,0.009857
20 11 11 21 16 14 17 14 21 11 15 ,5,12,101,0.500000,5.297149,0.129852,5.167327,0.000000,67670,0.004577
22 21 16 13 21 21 16 20 17 22 12 20 20 21 14 12 13 17 12 12 15 11 11 21 16 13 15 14 14 18 20 16 20 20 19 13 21 21 22 17 19 12 21 20 12 20 18 21 14 11 20 21 15 11 12 16 12 13 16 21 16 15 18 17 20 16 22 17 11 ,5,12,101,0.500000,34.898834,0.810699,34.088165,0.000000,71205,0.006378
21 15 18 14 16 13 20 22 16 22 20 19 13 18 14 21 18 11 15 19 21 13 14 15 20 18 20 22 20 22 16 11 19 12 11 11 16 18 19 21 18 16 18 14 12 14 14 20 16 16 22 12 13 18 21 20 18 21 20 18 14 14 21 13 11 18 12 14 16 16 12 17 12 21 20 12 17 22 14 18 22 15 13 12 14 19 22 21 17 14 16 21 16 22 12 12 13 17 16 18 ,5,12,101,0.500000,50.312957,1.161743,49.151214,0.000000,76255,0.006683
20 14 17 11 11 13 20 ,5,12,101,0.500000,3.554962,0.091003,3.463989,0.000000,76659,0.005737
14 17 12 13 14 11 18 19 14 14 11 15 21 22 20 14 20 14 20 14 19 22 20 21 21 21 14 19 12 20 12 15 14 15 16 22 18 13 13 15 13 11 16 19 11 13 15 21 18 14 21 13 21 14 12 22 16 12 21 20 12 19 14 21 21 18 15 16 11 16 16 13 12 13 13 14 15 13 11 18 19 15 12 20 12 20 16 12 14 17 15 12 18 21 22 21 11 16 20 20 21 20 20 16 19 20 20 20 16 21 16 21 20 18 11 15 14 18 20 13 14 21 20 18 17 20 17 16 13 14 11 21 14 18 17 17 12 21 18 22 16 22 20 ,5,12,101,0.500000,72.602142,1.669555,70.932586,0.000000,83931,0.004974
19 11 19 21 15 18 16 15 12 17 20 11 ,5,12,101,0.500000,5.875274,0.137420,5.737854,0.000000,84537,0.007476
18 20 12 20 16 20 21 13 18 15 22 12 19 22 ,5,12,101,0.500000,6.664367,0.159759,6.504577,0.000000,85244,0.007843
18 14 16 14 12 13 14 16 14 18 21 20 13 19 14 11 20 14 22 21 20 14 22 20 16 11 21 22 22 18 14 13 16 21 22 22 11 11 12 11 20 20 20 12 16 13 21 21 12 22 19 14 17 ,5,12,101,0.500000,26.828674,0.626098,26.202575,0.000000,87971,0.003875
22 21 15 20 14 13 15 21 22 16 ,5,12,101,0.500000,4.765899,0.117858,4.648040,0.000000,88476,0.005462
16 13 20 11 11 21 14 14 21 22 17 12 11 14 21 15 20 18 20 11 22 11 18 22 14 19 16 11 16 19 20 12 17 14 17 11 11 12 13 ,5,12,101,0.500000,19.328613,0.459960,18.868652,0.000000,90496,0.003875
20 11 ,5,12,101,0.500000,0.867462,0.020263,0.847198,0.000000,90597,0.009429
14 19 22 20 21 13 13 21 15 17 11 19 18 15 12 15 16 16 18 13 14 14 19 14 14 11 14 12 18 20 15 13 11 16 21 13 19 16 14 14 16 21 ,5,12,101,0.500000,20.860870,0.484893,20.375976,0.000000,92718,0.003875
13 19 21 11 17 11 11 13 22 19 11 21 11 13 15 18 11 13 21 18 19 21 17 12 17 ,5,12,101,0.500000,12.609680,0.300292,12.309387,0.000000,94031,0.005554
15 18 15 17 14 18 21 16 21 16 14 20 21 16 12 14 15 14 14 14 21 14 11 22 17 17 22 19 11 20 20 12 20 16 22 16 22 20 22 18 12 16 22 21 15 12 22 15 21 20 16 20 14 11 13 16 22 16 14 21 16 16 14 21 14 16 21 20 18 16 13 16 22 21 15 12 15 ,5,12,101,0.500000,38.891082,0.908233,37.982818,0.000000,97970,0.006439
14 20 21 22 22 13 17 11 20 ,5,12,101,0.500000,4.375854,0.110137,4.265716,0.000000,98475,0.003875
14 21 16 21 11 12 20 19 11 21 20 17 20 18 14 16 12 13 14 14 12 16 19 16 16 13 22 22 11 19 17 ,5,12,101,0.500000,15.430023,0.365234,15.064788,0.000000,100091,0.007507
11 11 15 16 22 11 14 20 22 22 22 11 20 14 11 20 16 20 18 12 15 13 13 20 12 20 11 19 17 18 20 21 12 19 19 16 19 16 17 18 18 11 11 14 20 11 13 14 11 14 15 14 21 16 19 18 14 21 13 16 14 17 14 19 12 14 17 16 15 20 14 17 13 ,5,12,101,0.500000,37.047302,0.856719,36.190582,0.000000,103828,0.004913
14 19 20 19 19 13 16 20 20 16 12 21 22 17 12 16 17 17 22 11 14 17 17 12 13 13 18 20 15 16 13 20 11 16 16 18 13 13 21 18 22 20 11 15 12 21 20 22 22 20 21 15 12 17 18 15 16 14 11 11 22 14 12 21 13 16 13 17 18 12 14 11 16 21 14 14 11 11 12 13 12 17 20 12 11 12 11 18 15 21 17 18 12 17 12 11 15 12 14 18 13 21 17 22 12 ,5,12,101,0.500000,53.039550,1.227172,51.812377,0.000000,109181,0.006469
15 16 17 21 11 11 19 ,5,12,101,0.500000,3.156524,0.089385,3.067138,0.000000,109585,0.005615
20 17 17 22 18 22 14 20 15 12 18 ,5,12,101,0.500000,5.367370,0.135070,5.232330,0.000000,110191,0.008117
11 18 13 14 21 20 20 21 11 16 22 19 22 17 11 11 16 14 13 12 21 18 19 13 16 ,5,12,101,0.500000,12.649444,0.296569,12.352874,0.000000,111504,0.003875
12 15 16 20 19 14 12 22 ,5,12,101,0.500000,3.703399,0.085296,3.618103,0.000000,111908,0.010070
17 16 21 ,5,12,101,0.500000,1.359619,0.042968,1.316680,0.000000,112110,0.005706
16 22 19 16 18 21 22 21 12 17 20 21 13 22 17 12 14 15 13 13 21 13 21 16 21 12 18 14 15 16 17 21 14 12 14 12 16 20 17 20 21 13 16 22 21 12 17 16 20 15 11 17 20 19 20 19 11 14 18 15 12 16 21 11 17 20 17 12 12 22 18 19 16 13 11 13 22 14 19 16 12 20 14 15 21 16 17 22 13 19 15 20 21 12 18 19 20 16 22 14 12 11 21 14 16 16 11 16 17 18 12 11 12 14 19 11 15 16 11 11 14 14 21 16 11 11 ,5,12,101,0.500000,63.508361,1.467315,62.041046,0.000000,118473,0.008941
17 18 15 14 16 17 16 13 17 19 18 15 20 22 17 22 16 12 18 14 19 12 14 13 17 20 22 11 13 21 11 14 15 11 17 20 19 18 21 21 16 16 11 19 11 12 21 16 17 19 12 20 20 22 13 15 14 21 18 16 22 20 18 15 16 11 11 15 22 19 11 15 ,5,12,101,0.500000,36.492523,0.852661,35.639862,0.000000,122210,0.006378
19 16 12 13 19 15 11 18 16 17 17 22 22 20 13 14 17 11 15 21 13 21 13 15 ,5,12,101,0.500000,11.781799,0.277587,11.504211,0.000000,123422,0.003906
21 22 12 22 21 22 16 14 19 14 11 22 17 17 21 11 16 22 11 12 22 12 11 11 11 18 18 12 21 13 22 13 12 20 12 15 18 16 16 16 21 21 11 19 22 19 20 11 11 13 21 17 20 12 17 21 21 16 11 21 14 11 11 14 12 20 13 ,5,12,101,0.500000,33.570739,0.786712,32.783996,0.000000,126856,0.007598
16 22 13 21 17 17 19 16 13 11 22 21 16 21 13 17 11 20 14 18 13 15 20 16 19 15 11 13 17 21 16 17 13 12 22 17 13 20 22 18 14 20 18 12 14 11 11 11 18 11 13 21 12 19 12 20 11 20 21 19 19 14 17 21 13 22 15 19 14 20 21 22 17 13 20 12 22 16 19 11 21 12 11 12 20 19 11 12 11 12 13 22 16 19 18 18 21 15 ,5,12,101,0.500000,49.719238,1.163452,48.555786,0.000000,131906,0.007873
14 16 19 20 22 16 11 20 16 19 19 14 14 17 19 15 20 14 12 21 21 19 12 18 16 20 11 14 11 11 12 16 22 18 21 21 13 12 19 11 11 16 15 12 21 17 12 18 20 22 13 21 20 16 22 16 12 11 12 19 18 21 16 19 16 19 11 18 20 11 20 11 18 13 13 14 18 21 20 12 14 18 15 14 12 18 20 15 15 11 20 12 21 11 19 18 11 20 20 22 18 12 14 18 17 18 20 21 12 14 11 22 20 19 13 15 13 21 17 16 16 13 12 13 14 19 20 18 20 ,5,12,101,0.500000,65.234924,1.503936,63.730987,0.000000,138471,0.006744
21 13 17 13 18 12 20 12 14 19 19 16 12 20 17 17 20 15 11 11 16 20 17 21 11 15 14 21 19 21 17 ,5,12,101,0.500000,15.594879,0.369384,15.225463,0.000000,140087,0.003875
12 22 12 13 11 14 22 14 14 18 18 14 20 18 16 12 14 16 17 22 20 18 20 12 21 17 11 15 20 20 22 20 17 21 19 12 15 20 21 11 17 14 12 20 16 20 15 14 21 16 12 16 22 11 16 20 13 20 18 21 11 20 22 16 21 20 11 20 12 15 13 21 11 14 16 18 15 21 11 20 15 22 17 15 13 20 21 12 21 19 12 18 22 20 18 22 21 12 20 15 12 18 18 ,5,12,101,0.500000,52.070800,1.206054,50.864746,0.000000,145339,0.006805
11 14 19 11 12 15 13 20 21 16 22 20 17 12 14 13 14 11 15 20 20 20 21 18 14 21 16 11 11 19 16 18 21 12 13 16 19 14 21 18 15 20 22 22 12 13 22 20 20 14 21 21 13 12 15 14 14 13 12 14 15 20 18 12 14 18 14 18 20 12 18 ,5,12,101,0.500000,35.898834,0.834686,35.064178,0.000000,148975,0.006469
17 18 19 14 18 14 ,5,12,101,0.500000,2.664337,0.068664,2.595672,0.000000,149278,0.007751
17 20 18 16 16 15 22 13 11 20 21 12 17 12 16 20 19 17 17 12 11 16 19 14 ,5,12,101,0.500000,11.867492,0.278625,11.588897,0.000000,150490,0.004974
20 20 17 17 22 17 18 17 12 12 14 14 15 13 14 16 12 17 16 ,5,12,101,0.500000,9.336242,0.221130,9.115112,0.000000,151500,0.006622
21 14 17 21 15 22 11 20 15 16 17 22 21 11 12 20 22 12 21 18 14 20 21 17 14 12 ,5,12,101,0.500000,12.859710,0.301300,12.558380,0.000000,152813,0.009490
21 21 19 11 17 20 16 11 14 15 21 21 13 12 15 19 15 ,5,12,101,0.500000,8.250274,0.202636,8.047637,0.000000,153722,0.005523
19 11 15 16 13 20 12 18 13 21 20 20 21 12 13 16 22 18 20 12 13 20 20 14 16 22 16 ,5,12,101,0.500000,13.304992,0.320037,12.984985,0.000000,155136,0.003540
13 22 16 22 20 ,5,12,101,0.500000,2.289337,0.064971,2.224365,0.000000,155439,0.007507
19 17 18 19 15 19 21 17 11 14 18 16 22 18 20 11 12 14 12 12 12 11 18 15 12 17 18 19 13 19 21 22 21 14 18 16 14 17 17 18 12 12 20 12 20 17 20 20 11 21 13 20 16 16 16 21 21 12 13 18 12 18 ,5,12,101,0.500000,31.469146,0.736816,30.732360,0.000000,158671,0.007995
14 11 16 14 12 21 17 21 21 16 16 17 17 20 21 16 21 20 21 11 12 20 11 17 21 15 22 12 ,5,12,101,0.500000,14.101867,0.328582,13.773315,0.000000,160085,0.008666
11 22 16 12 16 19 ,5,12,101,0.500000,3.031433,0.078491,2.952941,0.000000,160489,0.007812
16 17 16 16 14 20 15 16 12 14 17 11 15 14 18 19 22 15 14 11 17 19 12 17 18 16 14 11 21 14 11 18 14 21 22 17 20 12 12 ,5,12,101,0.500000,19.375976,0.456542,18.919433,0.000000,162509,0.003906
