slots,scanPeriod (in slotframes),b_avg,SD,modelAvgSyncTime (s),testbedAvgSyncTime (s),testbedCIL,testbedCIU,diffInAvgSyncTime (%), maxDiffInCDF (%)
101,0.5,0.58057,0.0203291,27.3309,27.3824,26.6713,28.1004,0.188365,0.743817
101,2,0.611654,0.0115832,25.4116,25.7452,25.1111,26.3925,1.31279,1.05933
101,3.5,0.616827,0.0238531,24.3935,24.4557,23.8361,25.0729,0.255085,0.551196
101,5,0.597904,0.0216566,24.5041,24.5934,23.9896,25.2269,0.364262,0.601078
101,6.5,0.612869,0.0131394,23.0645,23.2474,22.6624,23.8522,0.792893,0.806546
101,8,0.585557,0.0233971,23.5591,23.4321,22.8282,24.0327,0.53897,0.985785
101,9.5,0.585644,0.0148404,22.7813,23.0669,22.4834,23.6749,1.25373,0.67926
101,11,0.59402,0.023871,21.6507,21.46,20.9188,22.0072,0.881203,1.282
101,12.5,0.598356,0.0129916,20.6832,20.4252,19.9032,20.9382,1.2471,1.30277
101,14,0.60192,0.0180968,19.7789,19.4845,18.9917,19.9636,1.4882,1.77732
101,15.5,0.598296,0.0190895,19.1726,19.2133,18.718,19.7142,0.212358,1.57642
101,16,0.586463,0.0157592,19.4765,19.2259,18.7568,19.6955,1.28673,1.97125
101,17,0.589297,0.0228616,19.5341,19.6767,19.1854,20.1632,0.7302,0.867038
101,18.5,0.589676,0.0241728,19.7357,19.1027,18.6326,19.5816,3.20747,2.30117
101,20,0.588477,0.0116539,19.948,19.7044,19.2237,20.2088,1.22108,1.84322
101,0.992248,0.598924,0.0195361,26.478,26.3676,25.6749,27.0609,0.417149,1.09952
